State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Maharashtra,Ahmednagar,2004,0,0,0,0,17.1,123.6,103.5,99.7,262,60.2,12.2,0,678.3
Maharashtra,Ahmednagar,2005,0.8,0,0.1,1.8,0.7,82.7,146.9,79.6,214,114.9,0,0,641.5
Maharashtra,Ahmednagar,2006,0,0,0,0,8.1,166.1,124.3,176.2,225.9,71.2,0,0,771.8
Maharashtra,Ahmednagar,2007,0,0,0,0,0,205.2,101.8,126.4,157.8,0,0,0,591.2
Maharashtra,Ahmednagar,2008,0,0,51.9,4.5,0,37.7,65.2,108.4,327.3,53,0.9,0,648.9
Maharashtra,Ahmednagar,2009,0,0,0,0,0,75.6,122,127.3,123,73.4,127.6,2.9,651.8
Maharashtra,Ahmednagar,2010,0,0,0,0,2.5,173.7,165,196.4,171.2,60.6,74.7,0,844.1
Maharashtra, Akola,2004,15.8,0,3.3,0,41.5,65.9,154.8,104,74,23.1,31,0,513.4
Maharashtra, Akola,2005,35.5,6.4,27.6,5.4,2.9,36.2,251.8,249.8,224.3,49.9,0,0,889.8
Maharashtra, Akola,2006,0,0,144.2,0,56,103.1,261.1,368.7,205.8,47.7,8.7,0,1195.3
Maharashtra, Akola,2007,0,0,0,12,0,130.9,321.5,228,218.2,0,4.6,0,915.2
Maharashtra, Akola,2008,14.3,0,29,0,0,79.5,124.8,115.9,217,9.9,3,0,593.4
Maharashtra, Akola,2009,0,0,6.5,0.2,44.8,81,249.2,171.6,86.2,43.9,111.9,8.7,804
Maharashtra, Akola,2010,29.6,2,11.5,1,0.5,100,354.6,263.9,82.1,51.4,46.7,0,943.3
Maharashtra, Amraoti,2004,18.7,0,0,0,9.3,90,161.3,230.2,80,34.9,29,0,653.4
Maharashtra, Amraoti,2005,10.7,6.4,32.3,11.5,0,96.6,250.1,183.5,232.1,61.3,0,0,884.5
Maharashtra, Amraoti,2006,0,0,118.8,23.4,23,66.7,260.8,327.6,138.1,43.9,4.7,0,1007.0
Maharashtra, Amraoti,2007,0,4.2,13.4,3.6,16,214.3,357.8,261.3,227.1,0,0,0,1097.7
Maharashtra, Amraoti,2008,0,0,8,9,2,75,173.4,128.9,170.8,28.8,5,0,600.9
Maharashtra, Amraoti,2009,0,0,0,0,6,70.5,301.7,110.6,87.5,37.9,77.8,6,698
Maharashtra, Amraoti,2010,19.9,3,15.8,0,0,125.9,365.3,371.9,123.6,60.6,15.4,0,1101.4
Maharashtra, Aurangabad,2004,1.1,0,0,0,3.7,97,190.9,99.3,250.8,68.8,3.4,0,715.0
Maharashtra, Aurangabad,2005,0.2,0.1,0.9,0,1.4,43,254.2,106.3,224.7,68.7,0,0,699.5
Maharashtra, Aurangabad,2006,0,0,3.2,0,15.6,214.7,200.7,282.7,233,56.2,7.8,0,1013.9
Maharashtra, Aurangabad,2007,0,0,0,1.8,0,134.1,162.8,123,156,0,9.1,0,586.8
Maharashtra, Aurangabad,2008,0,0,39,1.8,0,73.5,88,123.9,314.4,40,3,0.6,684.2
Maharashtra, Aurangabad,2009,0,0,0.1,0.5,14.1,34.3,181.3,129.8,164.5,53.4,162.3,3.3,743.6
Maharashtra, Aurangabad,2010,27,1.6,19.2,0,2.5,158.6,246.3,252.6,107.4,45.6,78,0,938.8
Maharashtra, Beed,2004,0,0,0,0,2.4,175.8,204.2,52.3,158.8,68.7,0,0,662.2
Maharashtra, Beed,2005,0,0,0,0,0,57.6,328.8,63.1,210.3,15.3,0,0,675.1
