alarmRaisedTime,alarmName,alarmType
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:13,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:20:42,Device Management IP is Unreachable,COMMUNICATIONS ALARM
